,thuong_hieu,dong_xe,nam_dang_ky,so_km_da_di,tinh_trang,loai_xe,dung_tich_xe,xuat_xu,gia_actual,gia_pred,residual,residual_z,outside_p10p90,p10,p90,iso_score_raw,iso_flag,lof_flag,lof_score_raw,dbscan_flag,resid_flag_cheap,resid_flag_expensive,resid_score_raw,resid_score,iso_score,lof_score,p10p90_score,anomaly_score,anomaly_flag
2293,Honda,Wave,2021.0,10000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,17.999999999999996,16.650848,1.3491516113281214,-0.06780518346323966,0,4.700000000000001,65.99999999999997,-0.0402271044118494,0,0,1.2722756268065605,0,0,0,0.06780518346323966,0.2868577611017525,27.32963777679469,15.700636604384407,0,13.558066284373101,0
2285,Yamaha,Exciter,2021.0,60000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,29.000000000000004,23.852518,5.1474819183349645,0.040857173336081444,0,4.700000000000001,65.99999999999997,-0.042733798234844356,0,0,1.080849001296961,0,0,0,0.040857173336081444,0.17283397295915093,24.931141792329946,7.0512769044998445,0,10.256739019067382,0
2515,Suzuki,Axelo,2017.0,36000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,10.000000000000002,8.276132,1.7238683700561541,-0.05708531371929502,0,4.700000000000001,65.99999999999997,-0.029089825581463558,0,0,1.1600902700679279,1,0,0,0.05708531371929502,0.24149930417554052,37.98619196282959,10.631689163508987,0,16.77585153042047,0
1825,Yamaha,MT,2021.0,6068.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,58.000000000000014,42.213333,15.786666870117202,0.3452222016096603,0,4.700000000000001,65.99999999999997,-0.025421344505327514,0,0,1.5938218239010218,1,0,0,0.3452222016096603,1.4606787280309887,41.49632832231705,30.22927759879249,0,24.00915803350876,0
1547,Honda,CB,2020.0,18500.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Việt Nam,127.99999999999997,58.17565,69.824348449707,1.8911282608003441,1,4.700000000000001,65.99999999999997,-0.02096949478223953,0,1,2.3019962480484506,1,0,0,1.8911282608003441,8.00179490506098,45.756020346255355,62.227205308188175,100,63.47299674348415,1
5408,Honda,Wave,1999.0,56789.0,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,18.555555000000002,18.213835,0.3417202374267596,-0.09662570683893427,0,4.700000000000001,65.99999999999997,-0.026744726579311484,0,0,1.2078395992648772,1,0,0,0.09662570683893427,0.40880462233724085,40.2300681347961,12.789179651329887,0,18.383361866436772,0
1178,Honda,Winner,2016.0,180000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,26.8,14.166192,12.633807945251466,0.2550254431024578,0,4.700000000000001,65.99999999999997,-0.024998509826322013,0,0,1.0706842946507418,0,0,0,0.2550254431024578,1.0790336256785205,41.90091194971651,6.591998035675258,0,17.910753502008514,0
5502,Honda,Click,2010.0,42140.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,5.999999999999999,9.410284,-3.4102840423583993,-0.20396277202531388,0,4.700000000000001,65.99999999999997,-0.05499125223682372,0,0,1.0310363793778847,1,0,0,0.20396277202531388,0.8629746602327628,13.202763187086928,4.800559255241392,0,5.095534505850324,0
7140,Piaggio,Vespa,2014.0,38500.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,18.999999999999996,15.206869,3.7931308746337855,0.0021119973121034707,0,4.700000000000001,65.99999999999997,-0.022948752379341852,0,0,1.0397906386532743,0,0,0,0.0021119973121034707,0.008893417732272136,43.86219456054398,5.196108919126042,0,17.751200939390518,0
2368,Yamaha,Exciter,2014.0,1000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,32.0,16.516548,15.483451843261719,0.33654784820382133,0,4.700000000000001,65.99999999999997,-0.043166065469103954,0,0,0.9680164669879516,0,0,0,0.33654784820382133,1.4239753636506767,24.517532752376038,1.9530875983353955,0,9.52345011014862,0
3663,Yamaha,Nvx,2018.0,26000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,26.0,18.842684,7.157316207885742,0.09835436632000989,0,4.700000000000001,65.99999999999997,-0.03280231681447987,0,0,1.0541595527143417,1,0,0,0.09835436632000989,0.41611901406823626,34.43394508167224,5.8453493572314965,0,14.142720712737065,0
5195,Honda,SH Mode,2016.0,100.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,39.0,28.343512,10.656488418579102,0.19845843008698075,0,4.700000000000001,65.99999999999997,-0.046485497350770955,0,0,1.4109076762692716,0,0,0,0.19845843008698075,0.8396844092613781,21.341379380214242,21.964542989105407,0,12.93768043956904,0
